filename,date,decade,author,title,gender,gender_code,person,length,id,language
"EN_1804_Opie,Amelia_AdelineMowbray_Novel.txt",1804,1800,"Opie,Amelia",AdelineMowbray,female,F,first,106090,171,English
"EN_1805_Lewis,Matthew_TheBravoofVenice_Novel.txt",1805,1800,"Lewis,Matthew",TheBravoofVenice,male,M,third,33088,172,English
"EN_1806_Edgeworth,Maria_Leonora_Novel.txt",1806,1800,"Edgeworth,Maria",Leonora,female,F,first,65764,173,English
"EN_1809_More,Hannah_CoelebsinSearchofaWife_Novel.txt",1809,1800,"More,Hannah",CoelebsinSearchofaWife,female,F,first,136597,174,English
"EN_1811_Austen,Jane_SenseandSensibility_Novel.txt",1811,1810,"Austen,Jane",SenseandSensibility,female,F,third,118511,175,English
"EN_1813_Austen,Jane_PrideandPrejudice_Novel.txt",1813,1810,"Austen,Jane",PrideandPrejudice,female,F,third,121781,176,English
"EN_1814_Scott,Walter_Waverley_Novel.txt",1814,1810,"Scott,Walter",Waverley,male,M,first,194960,178,English
"EN_1814_Austen,Jane_MansfieldPark_Novel.txt",1814,1810,"Austen,Jane",MansfieldPark,female,F,third,159529,177,English
"EN_1815_Peacock,ThomasLove_HeadlongHall_Novel.txt",1815,1810,"Peacock,ThomasLove",HeadlongHall,male,M,third,27259,179,English
"EN_1817_Scott,Walter_RobRoy_Novel.txt",1817,1810,"Scott,Walter",RobRoy,male,M,first,158858,180,English
"EN_1818_Peacock,ThomasLove_NightmareAbbey_Novel.txt",1818,1810,"Peacock,ThomasLove",NightmareAbbey,male,M,first,26571,181,English
"EN_1818_Shelley,Mary_Frankenstein_Novel.txt",1818,1810,"Shelley,Mary",Frankenstein,female,F,third,75567,182,English
"EN_1819_Shelley,Mary_Mathilda_Novel.txt",1819,1810,"Shelley,Mary",Mathilda,female,F,first,38254,183,English
"EN_1820_Scott,Walter_Ivanhoe_Novel.txt",1820,1820,"Scott,Walter",Ivanhoe,male,M,third,175069,184,English
"EN_1821_Galt,John_AnnalsoftheParish_Novel.txt",1821,1820,"Galt,John",AnnalsoftheParish,male,M,first,65380,185,English
"EN_1821_Peacock,ThomasLove_MaidMarian_Novel.txt",1821,1820,"Peacock,ThomasLove",MaidMarian,male,M,third,35740,186,English
"EN_1822_Hogg,James_ThreePerilsofMan_Novel.txt",1822,1820,"Hogg,James",ThreePerilsofMan,male,M,third,211224,187,English
"EN_1823_Cooper,JamesFenimore_ThePioneers_Novel.txt",1823,1820,"Cooper,JamesFenimore",ThePioneers,male,M,third,169930,188,English
"EN_1826_Cooper,JameFenimore_TheLastoftheMohicans_Novel.txt",1826,1820,"Cooper,JameFenimore",TheLastoftheMohicans,male,M,third,146852,189,English
"EN_1826_Disraeli,Benjamin_VivianGrey_Novel.txt",1826,1820,"Disraeli,Benjamin",VivianGrey,male,M,third,192086,190,English
"EN_1836_Child,Lydia_Philothea_Novel.txt",1836,1830,"Child,Lydia",Philothea,female,F,third,72983,191,English
"EN_1837_Disraeli,Benjamin_Venetia_Novel.txt",1837,1830,"Disraeli,Benjamin",Venetia,male,M,third,160505,192,English
"EN_1837_Trollope,FrancesMilton_TheVicarofWrexham_Novel.txt",1837,1830,"Trollope,FrancesMilton",TheVicarofWrexham,female,F,third,168844,193,English
"EN_1838_Martineau,Harriet_Deerbrook_Novel.txt",1838,1830,"Martineau,Harriet",Deerbrook,female,F,third,220822,194,English
"EN_1838_Poe,EdgarAllen_TheNarrativeofArthurGordonPym_Novel.txt",1838,1830,"Poe,EdgarAllen",TheNarrativeofArthurGordonPym,male,M,first,99298,195,English
"EN_1843_Borrow,George_TheBibleinSpain_Novel.txt",1843,1840,"Borrow,George",TheBibleinSpain,male,M,first,220404,196,English
"EN_1844_Yonge,Charlotte_Abbeychurch_Novel.txt",1844,1840,"Yonge,Charlotte",Abbeychurch,female,F,third,72560,197,English
"EN_1847_Aguilar,Grace_HomeInfluence_Novel.txt",1847,1840,"Aguilar,Grace",HomeInfluence,female,F,third,170373,198,English
"EN_1847_Bronte,Charlotte_JaneEyre_Novel.txt",1847,1840,"Bronte,Charlotte",JaneEyre,female,F,first,184426,199,English
"EN_1847_Bronte,Emily_WutheringHeights_Novel.txt",1847,1840,"Bronte,Emily",WutheringHeights,female,F,first,115860,200,English
